OpenTime,CloseTime,Open,High,Low,Close,Volume,QuoteAssetVol,NumOfTrades
2020/09/06 02:00:00 UTC,2020/09/06 02:59:59 UTC,0.00190200,0.00191250,0.00188550,0.00189410,144962.02000000,275.19284874,7162
2020/09/06 03:00:00 UTC,2020/09/06 03:59:59 UTC,0.00189410,0.00189750,0.00186200,0.00187590,55675.85000000,104.60789942,4482
2020/09/06 04:00:00 UTC,2020/09/06 04:59:59 UTC,0.00187640,0.00189000,0.00186410,0.00186780,80923.77000000,151.91605074,4629
2020/09/06 05:00:00 UTC,2020/09/06 05:59:59 UTC,0.00186980,0.00189900,0.00185410,0.00189210,50464.33000000,94.70973377,5338
2020/09/06 06:00:00 UTC,2020/09/06 06:59:59 UTC,0.00189260,0.00189750,0.00184570,0.00186300,126575.14000000,236.08336095,7660
2020/09/06 07:00:00 UTC,2020/09/06 07:59:59 UTC,0.00186250,0.00195640,0.00185330,0.00195250,220629.32000000,421.55900445,14691
2020/09/06 08:00:00 UTC,2020/09/06 08:59:59 UTC,0.00195340,0.00217240,0.00193770,0.00214530,687381.42000000,1435.51918443,40237
2020/09/06 09:00:00 UTC,2020/09/06 09:59:59 UTC,0.00214610,0.00222070,0.00214410,0.00218150,482095.22000000,1049.43131248,24648
2020/09/06 10:00:00 UTC,2020/09/06 10:59:59 UTC,0.00218140,0.00218150,0.00211250,0.00217190,195656.42000000,419.87319682,13699
2020/09/06 11:00:00 UTC,2020/09/06 11:59:59 UTC,0.00217080,0.00221750,0.00216660,0.00217040,218716.31000000,479.11386495,14300
2020/09/06 12:00:00 UTC,2020/09/06 12:59:59 UTC,0.00217110,0.00218170,0.00215130,0.00217330,112951.60000000,244.63030747,9473
2020/09/06 13:00:00 UTC,2020/09/06 13:59:59 UTC,0.00217250,0.00218710,0.00214610,0.00217860,127285.29000000,275.35404104,9557
2020/09/06 14:00:00 UTC,2020/09/06 14:59:59 UTC,0.00217830,0.00221900,0.00216050,0.00221900,135454.45000000,295.81769502,10679
2020/09/06 15:00:00 UTC,2020/09/06 15:59:59 UTC,0.00221830,0.00224700,0.00219500,0.00221920,260041.42000000,578.26959768,15305
2020/09/06 16:00:00 UTC,2020/09/06 16:59:59 UTC,0.00221970,0.00226570,0.00219430,0.00226100,166027.61000000,370.73558568,11473
2020/09/06 17:00:00 UTC,2020/09/06 17:59:59 UTC,0.00226000,0.00226250,0.00223330,0.00223720,97417.40000000,218.85240689,6358
2020/09/06 18:00:00 UTC,2020/09/06 18:59:59 UTC,0.00223710,0.00227250,0.00222500,0.00227180,66287.00000000,149.24418836,5819
2020/09/06 19:00:00 UTC,2020/09/06 19:59:59 UTC,0.00227110,0.00227200,0.00224000,0.00225940,74454.78000000,167.88775890,5954
2020/09/06 20:00:00 UTC,2020/09/06 20:59:59 UTC,0.00225940,0.00226250,0.00220750,0.00221380,87412.04000000,194.78832858,7124
2020/09/06 21:00:00 UTC,2020/09/06 21:59:59 UTC,0.00221370,0.00226450,0.00221250,0.00226420,74541.67000000,167.21861643,6010
2020/09/06 22:00:00 UTC,2020/09/06 22:59:59 UTC,0.00226430,0.00226660,0.00223510,0.00225580,75475.03000000,169.95520627,5831
2020/09/06 23:00:00 UTC,2020/09/06 23:59:59 UTC,0.00225610,0.00226460,0.00224750,0.00225920,54660.91000000,123.37437762,3634
2020/09/07 00:00:00 UTC,2020/09/07 00:59:59 UTC,0.00225750,0.00228690,0.00224510,0.00225100,113665.37000000,257.89698472,6968
2020/09/07 01:00:00 UTC,2020/09/07 01:59:59 UTC,0.00225050,0.00225080,0.00222500,0.00223330,39339.37000000,88.01182704,2858
