blockNumber,time,blockReward
3462296,2017/04/02 07:35:14 UTC,5194770940000000000
2691400,2016/11/25 11:07:09 UTC,5086562212310617100
2687700,2016/11/24 20:20:52 UTC,5003251945421042780
2683816,2016/11/24 04:42:37 UTC,5001383656218938700
2679545,2016/11/23 10:37:52 UTC,5020577105778940320
2672925,2016/11/22 08:00:52 UTC,5036170186197654897
2672392,2016/11/22 05:49:16 UTC,5040843500234248393
2671141,2016/11/22 00:45:25 UTC,5006088055733760000
2664645,2016/11/20 23:04:17 UTC,5008800961000000000
2664477,2016/11/20 22:22:20 UTC,5014109439959925732
